Province,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Beijing,128.47,137.35,143.11,153.02,207.54,209.33,211.42,218.71,241.66,173.57
Tianjin,306.62,308.87,308.87,308.87,337.04,338,344.61,347.38,348.06,349.3
Hebei,4457.64,4447.98,4404.22,4349.03,4603.07,4596.61,4548.01,4552.95,4559.24,4579.02
Shanxi,1487.29,1460.28,1408.17,1382.79,1319.06,1319.85,1274.15,1260.99,1254.56,1255.69
Inner Mongolia,3131.53,3086.9,3011.88,2957.76,3125.24,3072.39,3027.5,2949.75,2871.26,2816.62
Liaoning,1572.99,1520.31,1473.97,1407.84,1698.82,1588.38,1537.54,1509.58,1492.93,1490.52
Jilin,1832.17,1790.87,1628.43,1510.13,1851.87,1807.52,1726.8,1684.8,1654.11,1640.57
Heilongjiang,5932.74,5530.84,5305.2,5342.12,4776.48,4332.65,3875.22,3405.86,3122.51,2950.26
Shanghai,189.81,188.21,184.09,184.09,199.02,199.61,201,202.32,234.46,206.05
Jiangsu,4054.07,3952.5,3890.53,3785.27,3929.72,3817.92,3819.74,3813.66,3817.1,3835.15
Zhejiang,1446.31,1432.15,1425.37,1409.39,1471.02,1456.8,1450.98,1446.37,1435.85,1431.35
Anhui,4437.46,4400.34,4331.69,4305.53,3585.09,3547.65,3519.78,3484.08,3453.73,3403.23
Fujian,1055.37,1061.65,1116.12,1122.42,968.51,967.48,967.51,960.12,955.45,952.9
Jiangxi,2036.83,2027.67,2001.57,1995.6,1907.06,1867.67,1852.39,1840.43,1841.17,1839.93
Shandong,5161.16,4964.43,4901.95,4729.03,5058.11,4986.88,4955.3,4896.92,4857.48,4836.78
Henan,5242.92,5210.64,5101.15,4969.11,5205.63,5150.44,5080.96,5033.03,4989.2,4955.84
Hubei,2905.57,2899.15,2855.32,2791.41,2548.91,2455.69,2379.78,2350.1,2330.17,2095.43
Hunan,3132.37,3113.32,3101.7,3084.3,2715.78,2762.41,2739,2720.68,2708.97,2696.65
Guangdong,1771.71,1771.26,1770.99,1770.76,1874.44,1873.16,1872.46,1871.09,1863.45,1312.04
Guangxi,1646.07,1618.79,1600,1586.37,1541.29,1529.24,1523.05,1522.14,1521.45,1522.27
Hainan,289.95,263.99,259.92,260.93,256.75,247.51,243.79,243.17,246.11,169.92
Chongqing,690.6,687.19,677.26,675.18,702.97,692.88,685.25,672.02,658.86,633.67
Sichuan,2813.55,2735.09,2666.32,2616.54,2662.65,2600.75,2553.11,2523.66,2506.69,2499.8
Guizhou,1088.07,1065.43,981.83,926.9,1214.57,1201.19,1131.72,1016.04,917.43,779.66
Yunnan,1809.39,1757.71,1708.97,1660.27,1677.9,1634.24,1588.42,1562.07,1536.87,1517.1
Tibet,251.53,247.8,244.03,239.27,251.04,245.31,237.03,235.15,220.66,156.37
Shaanxi,1251.39,1236.77,1226.49,1209.94,1277.18,1274.34,1284.87,1293.34,1301.44,1287.43
Gansu,1317.51,1306.72,1297.06,1284.08,1297.58,1291.82,1278.45,1264.17,1254.73,1063.04
Qinghai,202.35,196.99,182.49,186.9,251.67,251.67,251.67,251.67,251.65,176.59
Ningxia,515.15,506.53,498.91,498.56,491.35,477.59,464.6,453.55,451.94,426.2
Xinjiang,4982.03,4944.92,4831.89,4769.89,4029.07,3884.57,3721.6,3675.68,3572.49,3465.4