Province,Monitoring stations,Year,Grade I-III,Grade IV,Grade V,Grade I-III (dry season),Grade I-III (wet season)
Beijing,124,2015,0.532,0.234,0.234,0.54,0.754
Tianjin,63,2015,0.143,0.302,0.556,0.111,0.159
Hebei,203,2015,0.143,0.365,0.493,0.123,0.31
Shanxi,190,2015,0.174,0.342,0.484,0.158,0.226
Inner Mongolia,94,2015,0.043,0.319,0.638,0.021,0.064
Liaoning,126,2015,0.071,0.246,0.683,0.063,0.048
Jilin,170,2015,0.182,0.335,0.482,0.2,0.188
Heilongjiang,98,2015,0.093,0.289,0.619,0.163,0.113
Jiangsu,40,2015,0.325,0.4,0.275,0.333,0.425
Anhui,70,2015,0.155,0.662,0.183,0.114,0.157
Shandong,325,2015,0.231,0.271,0.498,0.231,0.229
Henan,222,2015,0.077,0.477,0.446,0.09,0.095
Hubei,11,2015,0.091,0.273,0.636,0.091,0
Shaanxi,185,2015,0.335,0.303,0.362,0.357,0.33
Gansu,116,2015,0.259,0.224,0.517,0.207,0.19
Qinghai,15,2015,0.733,0.067,0.2,0.714,0.643
Ningxia,33,2015,0,0.333,0.667,0,0
Xinjiang,18,2015,0.444,0.222,0.333,0.333,0.556
Beijing,,2014,0.264,,,,
Tianjin,,2014,0.107,,,,
Hebei,,2014,0.081,,,,
Shanxi,,2014,0.179,,,,
Inner Mongolia,,2014,0,,,,
Liaoning,,2014,0.024,,,,
Jilin,,2014,0.165,,,,
Heilongjiang,,2014,0.143,,,,
Jiangsu,,2014,0.275,,,,
Anhui,,2014,0.12,,,,
Shandong,,2014,0.196,,,,
Henan,,2014,0.077,,,,
Hubei,,2014,0,,,,
Shaanxi,,2014,0.346,,,,
Gansu,,2014,0.164,,,,
Qinghai,,2014,0.533,,,,
Ningxia,,2014,0,,,,
Xinjiang,,2014,0.056,,,,