River,Year,Grade,Value,Unit,Source
Hai,2012,Grade IV,0.068,River length (%),MWR
Hai,2012,Grade V,0.125,River length (%),MWR
Hai,2012,Grade V+,0.461,River length (%),MWR
Hai,2012,Grade I-III,0.346,River length (%),MWR
Hai,2012,Grade IV-V,0.193,River length (%),MWR
Yellow,2012,Grade I,0.029,River length (%),MWR
Yellow,2012,Grade II,0.340,River length (%),MWR
Yellow,2012,Grade III,0.186,River length (%),MWR
Yellow,2012,Grade IV,0.124,River length (%),MWR
Yellow,2012,Grade V,0.047,River length (%),MWR
Yellow,2012,Grade V+,0.274,River length (%),MWR
Yellow,2012,Grade I-III,0.555,River length (%),MWR
Yellow,2012,Grade IV-V,0.171,River length (%),MWR
Huai,2012,Grade I,0.005,River length (%),MWR
Huai,2012,Grade II,0.096,River length (%),MWR
Huai,2012,Grade III,0.267,River length (%),MWR
Huai,2012,Grade IV,0.285,River length (%),MWR
Huai,2012,Grade V,0.108,River length (%),MWR
Huai,2012,Grade V+,0.239,River length (%),MWR
Huai,2012,Grade I-III,0.368,River length (%),MWR
Huai,2012,Grade IV-V,0.393,River length (%),MWR
Yangtze,2012,Grade I,0.049,River length (%),MWR
Yangtze,2012,Grade II,0.453,River length (%),MWR
Yangtze,2012,Grade III,0.245,River length (%),MWR
Yangtze,2012,Grade IV,0.086,River length (%),MWR
Yangtze,2012,Grade V,0.046,River length (%),MWR
Yangtze,2012,Grade V+,0.121,River length (%),MWR
Yangtze,2012,Grade I-III,0.747,River length (%),MWR
Yangtze,2012,Grade IV-V,0.132,River length (%),MWR
Southeast,2012,Grade I,0.057,River length (%),MWR
Southeast,2012,Grade II,0.462,River length (%),MWR
Southeast,2012,Grade III,0.270,River length (%),MWR
Southeast,2012,Grade IV,0.099,River length (%),MWR
Southeast,2012,Grade V,0.040,River length (%),MWR
Southeast,2012,Grade V+,0.072,River length (%),MWR
Southeast,2012,Grade I-III,0.789,River length (%),MWR
Southeast,2012,Grade IV-V,0.139,River length (%),MWR
Pearl,2012,Grade I,0.030,River length (%),MWR
Pearl,2012,Grade II,0.643,River length (%),MWR
Pearl,2012,Grade III,0.159,River length (%),MWR
Pearl,2012,Grade IV,0.068,River length (%),MWR
Pearl,2012,Grade V,0.029,River length (%),MWR
Pearl,2012,Grade V+,0.071,River length (%),MWR
Pearl,2012,Grade I-III,0.832,River length (%),MWR
Pearl,2012,Grade IV-V,0.097,River length (%),MWR
Southwest,2012,Grade I,0.125,River length (%),MWR
Southwest,2012,Grade II,0.655,River length (%),MWR
Southwest,2012,Grade III,0.197,River length (%),MWR
Southwest,2012,Grade IV,0.020,River length (%),MWR
Southwest,2012,Grade V,0.000,River length (%),MWR
Southwest,2012,Grade V+,0.003,River length (%),MWR
Southwest,2012,Grade I-III,0.977,River length (%),MWR
Southwest,2012,Grade IV-V,0.020,River length (%),MWR
Northwest,2012,Grade I,0.220,River length (%),MWR
Northwest,2012,Grade II,0.565,River length (%),MWR
Northwest,2012,Grade III,0.123,River length (%),MWR
Northwest,2012,Grade IV,0.046,River length (%),MWR
Northwest,2012,Grade V,0.021,River length (%),MWR
Northwest,2012,Grade V+,0.025,River length (%),MWR
Northwest,2012,Grade I-III,0.908,River length (%),MWR
Northwest,2012,Grade IV-V,0.067,River length (%),MWR
National,2012,Grade I,0.055,River length (%),MWR
National,2012,Grade II,0.397,River length (%),MWR
National,2012,Grade III,0.218,River length (%),MWR
National,2012,Grade IV,0.118,River length (%),MWR
National,2012,Grade V,0.055,River length (%),MWR
National,2012,Grade V+,0.157,River length (%),MWR
National,2012,Grade I-III,0.670,River length (%),MWR
National,2012,Grade IV-V,0.173,River length (%),MWR
Songhua,2010,Grade I,0.005,River length (%),MWR
Songhua,2010,Grade II,0.084,River length (%),MWR
Songhua,2010,Grade III,0.419,River length (%),MWR
Songhua,2010,Grade IV,0.212,River length (%),MWR
Songhua,2010,Grade V,0.088,River length (%),MWR
Songhua,2010,Grade V+,0.192,River length (%),MWR
Songhua,2010,Grade I-III,0.508,River length (%),MWR
Songhua,2010,Grade IV-V,0.300,River length (%),MWR
Liao,2010,Grade I,0.014,River length (%),MWR
Liao,2010,Grade II,0.311,River length (%),MWR
Liao,2010,Grade III,0.092,River length (%),MWR
Liao,2010,Grade IV,0.073,River length (%),MWR
Liao,2010,Grade V,0.170,River length (%),MWR
Liao,2010,Grade V+,0.340,River length (%),MWR
Liao,2010,Grade I-III,0.417,River length (%),MWR
Liao,2010,Grade IV-V,0.243,River length (%),MWR
Hai,2010,Grade I,0.018,River length (%),MWR
Hai,2010,Grade II,0.212,River length (%),MWR
Hai,2010,Grade III,0.142,River length (%),MWR
Hai,2010,Grade IV,0.084,River length (%),MWR
Hai,2010,Grade V,0.062,River length (%),MWR
Hai,2010,Grade V+,0.482,River length (%),MWR
Hai,2010,Grade I-III,0.372,River length (%),MWR
Hai,2010,Grade IV-V,0.146,River length (%),MWR
Yellow,2010,Grade I,0.047,River length (%),MWR
Yellow,2010,Grade II,0.201,River length (%),MWR
Yellow,2010,Grade III,0.177,River length (%),MWR
Yellow,2010,Grade IV,0.133,River length (%),MWR
Yellow,2010,Grade V,0.103,River length (%),MWR
Yellow,2010,Grade V+,0.339,River length (%),MWR
Yellow,2010,Grade I-III,0.425,River length (%),MWR
Yellow,2010,Grade IV-V,0.236,River length (%),MWR
Huai,2010,Grade I,0.012,River length (%),MWR
Huai,2010,Grade II,0.120,River length (%),MWR
Huai,2010,Grade III,0.257,River length (%),MWR
Huai,2010,Grade IV,0.257,River length (%),MWR
Huai,2010,Grade V,0.132,River length (%),MWR
Huai,2010,Grade V+,0.222,River length (%),MWR
Huai,2010,Grade I-III,0.389,River length (%),MWR
Huai,2010,Grade IV-V,0.389,River length (%),MWR
Yangtze,2010,Grade I,0.053,River length (%),MWR
Yangtze,2010,Grade II,0.347,River length (%),MWR
Yangtze,2010,Grade III,0.274,River length (%),MWR
Yangtze,2010,Grade IV,0.112,River length (%),MWR
Yangtze,2010,Grade V,0.080,River length (%),MWR
Yangtze,2010,Grade V+,0.134,River length (%),MWR
Yangtze,2010,Grade I-III,0.674,River length (%),MWR
Yangtze,2010,Grade IV-V,0.192,River length (%),MWR
Southeast,2010,Grade I,0.011,River length (%),MWR
Southeast,2010,Grade II,0.449,River length (%),MWR
Southeast,2010,Grade III,0.297,River length (%),MWR
Southeast,2010,Grade IV,0.088,River length (%),MWR
Southeast,2010,Grade V,0.034,River length (%),MWR
Southeast,2010,Grade V+,0.121,River length (%),MWR
Southeast,2010,Grade I-III,0.757,River length (%),MWR
Southeast,2010,Grade IV-V,0.122,River length (%),MWR
Pearl,2010,Grade I,0.015,River length (%),MWR
Pearl,2010,Grade II,0.340,River length (%),MWR
Pearl,2010,Grade III,0.353,River length (%),MWR
Pearl,2010,Grade IV,0.144,River length (%),MWR
Pearl,2010,Grade V,0.049,River length (%),MWR
Pearl,2010,Grade V+,0.099,River length (%),MWR
Pearl,2010,Grade I-III,0.708,River length (%),MWR
Pearl,2010,Grade IV-V,0.193,River length (%),MWR
Southwest,2010,Grade I,0.039,River length (%),MWR
Southwest,2010,Grade II,0.516,River length (%),MWR
Southwest,2010,Grade III,0.314,River length (%),MWR
Southwest,2010,Grade IV,0.059,River length (%),MWR
Southwest,2010,Grade V,0.037,River length (%),MWR
Southwest,2010,Grade V+,0.035,River length (%),MWR
Southwest,2010,Grade I-III,0.869,River length (%),MWR
Southwest,2010,Grade IV-V,0.096,River length (%),MWR
Northwest,2010,Grade I,0.317,River length (%),MWR
Northwest,2010,Grade II,0.497,River length (%),MWR
Northwest,2010,Grade III,0.144,River length (%),MWR
Northwest,2010,Grade IV,0.032,River length (%),MWR
Northwest,2010,Grade V,0.007,River length (%),MWR
Northwest,2010,Grade V+,0.003,River length (%),MWR
Northwest,2010,Grade I-III,0.958,River length (%),MWR
Northwest,2010,Grade IV-V,0.039,River length (%),MWR
National,2010,Grade I,0.048,River length (%),MWR
National,2010,Grade II,0.300,River length (%),MWR
National,2010,Grade III,0.266,River length (%),MWR
National,2010,Grade IV,0.131,River length (%),MWR
National,2010,Grade V,0.078,River length (%),MWR
National,2010,Grade V+,0.177,River length (%),MWR
National,2010,Grade I-III,0.614,River length (%),MWR
National,2010,Grade IV-V,0.209,River length (%),MWR
National,2013,Grade I,0.048,River length (%),MWR
National,2013,Grade II,0.425,River length (%),MWR
National,2013,Grade III,0.213,River length (%),MWR
National,2013,Grade IV,0.108,River length (%),MWR
National,2013,Grade V,0.057,River length (%),MWR
National,2013,Grade V+,0.149,River length (%),MWR
National,2013,Grade I-III,0.686,River length (%),MWR
National,2013,Grade IV-V,0.165,River length (%),MWR
National,2014,Grade I,0.059,River length (%),MWR
National,2014,Grade II,0.435,River length (%),MWR
National,2014,Grade III,0.234,River length (%),MWR
National,2014,Grade IV,0.108,River length (%),MWR
National,2014,Grade V,0.047,River length (%),MWR
National,2014,Grade V+,0.117,River length (%),MWR
National,2014,Grade I-III,0.728,River length (%),MWR
National,2014,Grade IV-V,0.155,River length (%),MWR
Major rivers,2015,Grade I-III,0.721,Monitoring sections (%),MEP
Major rivers,2015,Grade IV-V,0.190,Monitoring sections (%),MEP
Major rivers,2015,Grade V+,0.089,Monitoring sections (%),MEP
National,2015,Grade I,0.081,River length (%),MWR
National,2015,Grade II,0.443,River length (%),MWR
National,2015,Grade III,0.218,River length (%),MWR
National,2015,Grade IV,0.099,River length (%),MWR
National,2015,Grade V,0.042,River length (%),MWR
National,2015,Grade V+,0.117,River length (%),MWR
National,2015,Grade I-III,0.742,River length (%),MWR
National,2015,Grade IV-V,0.141,River length (%),MWR
Southeast,2015,Grade I,0.044,Monitoring sections (%),MEP
Southeast,2015,Grade II,0.311,Monitoring sections (%),MEP
Southeast,2015,Grade III,0.533,Monitoring sections (%),MEP
Southeast,2015,Grade IV,0.089,Monitoring sections (%),MEP
Southeast,2015,Grade V,0.022,Monitoring sections (%),MEP
Southeast,2015,Grade V+,0.000,Monitoring sections (%),MEP
Southeast,2015,Grade I-III,0.888,Monitoring sections (%),MEP
Southeast,2015,Grade IV-V,0.111,Monitoring sections (%),MEP
Southeast,2010,Grade V+,0.000,Monitoring sections (%),MEP
Southeast,2010,Grade I-III,0.806,Monitoring sections (%),MEP
Southeast,2010,Grade IV-V,0.194,Monitoring sections (%),MEP
Major rivers,2010,Grade I-III,0.599,Monitoring sections (%),MEP
Major rivers,2010,Grade IV-V,0.237,Monitoring sections (%),MEP
Major rivers,2010,Grade V+,0.164,Monitoring sections (%),MEP
Major rivers,2011,Grade I-III,0.610,Monitoring sections (%),MEP
Major rivers,2011,Grade IV-V,0.253,Monitoring sections (%),MEP
Major rivers,2011,Grade V+,0.137,Monitoring sections (%),MEP
Major rivers,2012,Grade I-III,0.689,Monitoring sections (%),MEP
Major rivers,2012,Grade IV-V,0.209,Monitoring sections (%),MEP
Major rivers,2012,Grade V+,0.102,Monitoring sections (%),MEP
Major rivers,2013,Grade I-III,0.717,Monitoring sections (%),MEP
Major rivers,2013,Grade IV-V,0.193,Monitoring sections (%),MEP
Major rivers,2013,Grade V+,0.090,Monitoring sections (%),MEP
Major rivers,2014,Grade I-III,0.712,Monitoring sections (%),MEP
Major rivers,2014,Grade IV-V,0.198,Monitoring sections (%),MEP
Major rivers,2014,Grade V+,0.090,Monitoring sections (%),MEP
Southwest,2013,Grade V+,0.000,Monitoring sections (%),MEP
Southwest,2013,Grade I-III,1,Monitoring sections (%),MEP
Southwest,2013,Grade IV-V,0,Monitoring sections (%),MEP
Northwest,2013,Grade V+,0.020,Monitoring sections (%),MEP
Northwest,2013,Grade I-III,0.980,Monitoring sections (%),MEP
Northwest,2013,Grade IV-V,0.000,Monitoring sections (%),MEP
Southwest,2012,Grade V+,0.000,Monitoring sections (%),MEP
Southwest,2012,Grade I-III,0.968,Monitoring sections (%),MEP
Southwest,2012,Grade IV-V,0.032,Monitoring sections (%),MEP
Northwest,2012,Grade V+,0.020,Monitoring sections (%),MEP
Northwest,2012,Grade I-III,0.980,Monitoring sections (%),MEP
Northwest,2012,Grade IV-V,0.000,Monitoring sections (%),MEP
Southwest,2011,Grade V+,0.000,Monitoring sections (%),MEP
Southwest,2011,Grade I-III,0.941,Monitoring sections (%),MEP
Southwest,2011,Grade IV-V,0.059,Monitoring sections (%),MEP
Northwest,2011,Grade V+,0.043,Monitoring sections (%),MEP
Northwest,2011,Grade I-III,0.914,Monitoring sections (%),MEP
Northwest,2011,Grade IV-V,0.043,Monitoring sections (%),MEP
Southwest,2010,Grade V+,0.118,Monitoring sections (%),MEP
Southwest,2010,Grade I-III,0.882,Monitoring sections (%),MEP
Southwest,2010,Grade IV-V,0.000,Monitoring sections (%),MEP
Northwest,2010,Grade V+,0.036,Monitoring sections (%),MEP
Northwest,2010,Grade I-III,0.928,Monitoring sections (%),MEP
Northwest,2010,Grade IV-V,0.036,Monitoring sections (%),MEP
Major rivers,2016,Grade I,0.021,Monitoring sections (%),MEP
Major rivers,2016,Grade II,0.418,Monitoring sections (%),MEP
Major rivers,2016,Grade III,0.273,Monitoring sections (%),MEP
Major rivers,2016,Grade I-III,0.712,Monitoring sections (%),MEP
Major rivers,2016,Grade IV,0.134,Monitoring sections (%),MEP
Major rivers,2016,Grade V,0.063,Monitoring sections (%),MEP
Major rivers,2016,Grade V+,0.091,Monitoring sections (%),MEP
Major rivers,2016,Grade IV-V,0.197,Monitoring sections (%),MEP
Yangtze,2016,Grade I,0.027,Monitoring sections (%),MEP
Yangtze,2016,Grade II,0.535,Monitoring sections (%),MEP
Yangtze,2016,Grade III,0.261,Monitoring sections (%),MEP
Yangtze,2016,Grade IV,0.096,Monitoring sections (%),MEP
Yangtze,2016,Grade V,0.045,Monitoring sections (%),MEP
Yangtze,2016,Grade V+,0.035,Monitoring sections (%),MEP
Yangtze,2016,Grade I-III,0.823,Monitoring sections (%),MEP
Yangtze,2016,Grade IV-V,0.141,Monitoring sections (%),MEP
Yellow,2016,Grade I,0.022,Monitoring sections (%),MEP
Yellow,2016,Grade II,0.321,Monitoring sections (%),MEP
Yellow,2016,Grade III,0.248,Monitoring sections (%),MEP
Yellow,2016,Grade IV,0.204,Monitoring sections (%),MEP
Yellow,2016,Grade V,0.066,Monitoring sections (%),MEP
Yellow,2016,Grade V+,0.139,Monitoring sections (%),MEP
Yellow,2016,Grade I-III,0.591,Monitoring sections (%),MEP
Yellow,2016,Grade IV-V,0.270,Monitoring sections (%),MEP
Pearl,2016,Grade I,0.024,Monitoring sections (%),MEP
Pearl,2016,Grade II,0.624,Monitoring sections (%),MEP
Pearl,2016,Grade III,0.248,Monitoring sections (%),MEP
Pearl,2016,Grade IV,0.048,Monitoring sections (%),MEP
Pearl,2016,Grade V,0.018,Monitoring sections (%),MEP
Pearl,2016,Grade V+,0.036,Monitoring sections (%),MEP
Pearl,2016,Grade I-III,0.896,Monitoring sections (%),MEP
Pearl,2016,Grade IV-V,0.066,Monitoring sections (%),MEP
Songhua,2016,Grade I,0.000,Monitoring sections (%),MEP
Songhua,2016,Grade II,0.139,Monitoring sections (%),MEP
Songhua,2016,Grade III,0.463,Monitoring sections (%),MEP
Songhua,2016,Grade IV,0.296,Monitoring sections (%),MEP
Songhua,2016,Grade V,0.037,Monitoring sections (%),MEP
Songhua,2016,Grade V+,0.062,Monitoring sections (%),MEP
Songhua,2016,Grade I-III,0.602,Monitoring sections (%),MEP
Songhua,2016,Grade IV-V,0.333,Monitoring sections (%),MEP
Huai,2016,Grade I,0.000,Monitoring sections (%),MEP
Huai,2016,Grade II,0.072,Monitoring sections (%),MEP
Huai,2016,Grade III,0.461,Monitoring sections (%),MEP
Huai,2016,Grade IV,0.239,Monitoring sections (%),MEP
Huai,2016,Grade V,0.156,Monitoring sections (%),MEP
Huai,2016,Grade V+,0.072,Monitoring sections (%),MEP
Huai,2016,Grade I-III,0.533,Monitoring sections (%),MEP
Huai,2016,Grade IV-V,0.395,Monitoring sections (%),MEP
Hai,2016,Grade I,0.019,Monitoring sections (%),MEP
Hai,2016,Grade II,0.193,Monitoring sections (%),MEP
Hai,2016,Grade III,0.161,Monitoring sections (%),MEP
Hai,2016,Grade IV,0.130,Monitoring sections (%),MEP
Hai,2016,Grade V,0.087,Monitoring sections (%),MEP
Hai,2016,Grade V+,0.410,Monitoring sections (%),MEP
Hai,2016,Grade I-III,0.373,Monitoring sections (%),MEP
Hai,2016,Grade IV-V,0.217,Monitoring sections (%),MEP
Liao,2016,Grade I,0.019,Monitoring sections (%),MEP
Liao,2016,Grade II,0.311,Monitoring sections (%),MEP
Liao,2016,Grade III,0.123,Monitoring sections (%),MEP
Liao,2016,Grade IV,0.226,Monitoring sections (%),MEP
Liao,2016,Grade V,0.170,Monitoring sections (%),MEP
Liao,2016,Grade V+,0.151,Monitoring sections (%),MEP
Liao,2016,Grade I-III,0.453,Monitoring sections (%),MEP
Liao,2016,Grade IV-V,0.396,Monitoring sections (%),MEP
Southeast,2016,Grade I,0.032,Monitoring sections (%),MEP
Southeast,2016,Grade II,0.536,Monitoring sections (%),MEP
Southeast,2016,Grade III,0.376,Monitoring sections (%),MEP
Southeast,2016,Grade IV,0.032,Monitoring sections (%),MEP
Southeast,2016,Grade V,0.024,Monitoring sections (%),MEP
Southeast,2016,Grade V+,0.000,Monitoring sections (%),MEP
Southeast,2016,Grade I-III,0.944,Monitoring sections (%),MEP
Southeast,2016,Grade IV-V,0.056,Monitoring sections (%),MEP
Northwest,2016,Grade I,0.048,Monitoring sections (%),MEP
Northwest,2016,Grade II,0.758,Monitoring sections (%),MEP
Northwest,2016,Grade III,0.129,Monitoring sections (%),MEP
Northwest,2016,Grade IV,0.048,Monitoring sections (%),MEP
Northwest,2016,Grade V,0.016,Monitoring sections (%),MEP
Northwest,2016,Grade V+,0.000,Monitoring sections (%),MEP
Northwest,2016,Grade I-III,0.935,Monitoring sections (%),MEP
Northwest,2016,Grade IV-V,0.064,Monitoring sections (%),MEP
Southwest,2016,Grade I,0.016,Monitoring sections (%),MEP
Southwest,2016,Grade II,0.794,Monitoring sections (%),MEP
Southwest,2016,Grade III,0.095,Monitoring sections (%),MEP
Southwest,2016,Grade IV,0.079,Monitoring sections (%),MEP
Southwest,2016,Grade V,0.016,Monitoring sections (%),MEP
Southwest,2016,Grade V+,0.000,Monitoring sections (%),MEP
Southwest,2016,Grade I-III,0.905,Monitoring sections (%),MEP
Southwest,2016,Grade IV-V,0.095,Monitoring sections (%),MEP
Major rivers,2017,Grade I,0.022,Monitoring sections (%),MEP
Major rivers,2017,Grade II,0.367,Monitoring sections (%),MEP
Major rivers,2017,Grade III,0.329,Monitoring sections (%),MEP
Major rivers,2017,Grade I-III,0.718,Monitoring sections (%),MEP
Major rivers,2017,Grade IV,0.146,Monitoring sections (%),MEP
Major rivers,2017,Grade V,0.052,Monitoring sections (%),MEP
Major rivers,2017,Grade V+,0.084,Monitoring sections (%),MEP
Major rivers,2017,Grade IV-V,0.198,Monitoring sections (%),MEP
Yangtze,2017,Grade I,0.022,Monitoring sections (%),MEP
Yangtze,2017,Grade II,0.443,Monitoring sections (%),MEP
Yangtze,2017,Grade III,0.380,Monitoring sections (%),MEP
Yangtze,2017,Grade IV,0.102,Monitoring sections (%),MEP
Yangtze,2017,Grade V,0.031,Monitoring sections (%),MEP
Yangtze,2017,Grade V+,0.022,Monitoring sections (%),MEP
Yangtze,2017,Grade I-III,0.845,Monitoring sections (%),MEP
Yangtze,2017,Grade IV-V,0.133,Monitoring sections (%),MEP
Yellow,2017,Grade I,0.015,Monitoring sections (%),MEP
Yellow,2017,Grade II,0.292,Monitoring sections (%),MEP
Yellow,2017,Grade III,0.270,Monitoring sections (%),MEP
Yellow,2017,Grade IV,0.161,Monitoring sections (%),MEP
Yellow,2017,Grade V,0.102,Monitoring sections (%),MEP
Yellow,2017,Grade V+,0.161,Monitoring sections (%),MEP
Yellow,2017,Grade I-III,0.577,Monitoring sections (%),MEP
Yellow,2017,Grade IV-V,0.263,Monitoring sections (%),MEP
Pearl,2017,Grade I,0.030,Monitoring sections (%),MEP
Pearl,2017,Grade II,0.564,Monitoring sections (%),MEP
Pearl,2017,Grade III,0.279,Monitoring sections (%),MEP
Pearl,2017,Grade IV,0.061,Monitoring sections (%),MEP
Pearl,2017,Grade V,0.024,Monitoring sections (%),MEP
Pearl,2017,Grade V+,0.042,Monitoring sections (%),MEP
Pearl,2017,Grade I-III,0.873,Monitoring sections (%),MEP
Pearl,2017,Grade IV-V,0.085,Monitoring sections (%),MEP
Songhua,2017,Grade I,0.000,Monitoring sections (%),MEP
Songhua,2017,Grade II,0.148,Monitoring sections (%),MEP
Songhua,2017,Grade III,0.537,Monitoring sections (%),MEP
Songhua,2017,Grade IV,0.25,Monitoring sections (%),MEP
Songhua,2017,Grade V,0.009,Monitoring sections (%),MEP
Songhua,2017,Grade V+,0.056,Monitoring sections (%),MEP
Songhua,2017,Grade I-III,0.685,Monitoring sections (%),MEP
Songhua,2017,Grade IV-V,0.259,Monitoring sections (%),MEP
Huai,2017,Grade I,0.000,Monitoring sections (%),MEP
Huai,2017,Grade II,0.067,Monitoring sections (%),MEP
Huai,2017,Grade III,0.394,Monitoring sections (%),MEP
Huai,2017,Grade IV,0.367,Monitoring sections (%),MEP
Huai,2017,Grade V,0.089,Monitoring sections (%),MEP
Huai,2017,Grade V+,0.083,Monitoring sections (%),MEP
Huai,2017,Grade I-III,0.461,Monitoring sections (%),MEP
Huai,2017,Grade IV-V,0.456,Monitoring sections (%),MEP
Hai,2017,Grade I,0.019,Monitoring sections (%),MEP
Hai,2017,Grade II,0.205,Monitoring sections (%),MEP
Hai,2017,Grade III,0.193,Monitoring sections (%),MEP
Hai,2017,Grade IV,0.130,Monitoring sections (%),MEP
Hai,2017,Grade V,0.124,Monitoring sections (%),MEP
Hai,2017,Grade V+,0.329,Monitoring sections (%),MEP
Hai,2017,Grade I-III,0.417,Monitoring sections (%),MEP
Hai,2017,Grade IV-V,0.254,Monitoring sections (%),MEP
Liao,2017,Grade I,0.028,Monitoring sections (%),MEP
Liao,2017,Grade II,0.236,Monitoring sections (%),MEP
Liao,2017,Grade III,0.226,Monitoring sections (%),MEP
Liao,2017,Grade IV,0.245,Monitoring sections (%),MEP
Liao,2017,Grade V,0.075,Monitoring sections (%),MEP
Liao,2017,Grade V+,0.189,Monitoring sections (%),MEP
Liao,2017,Grade I-III,0.490,Monitoring sections (%),MEP
Liao,2017,Grade IV-V,0.320,Monitoring sections (%),MEP
Southeast,2017,Grade I,0.024,Monitoring sections (%),MEP
Southeast,2017,Grade II,0.408,Monitoring sections (%),MEP
Southeast,2017,Grade III,0.456,Monitoring sections (%),MEP
Southeast,2017,Grade IV,0.072,Monitoring sections (%),MEP
Southeast,2017,Grade V,0.032,Monitoring sections (%),MEP
Southeast,2017,Grade V+,0.008,Monitoring sections (%),MEP
Southeast,2017,Grade I-III,0.888,Monitoring sections (%),MEP
Southeast,2017,Grade IV-V,0.104,Monitoring sections (%),MEP
Northwest,2017,Grade I,0.129,Monitoring sections (%),MEP
Northwest,2017,Grade II,0.774,Monitoring sections (%),MEP
Northwest,2017,Grade III,0.064,Monitoring sections (%),MEP
Northwest,2017,Grade IV,0.016,Monitoring sections (%),MEP
Northwest,2017,Grade V,0.016,Monitoring sections (%),MEP
Northwest,2017,Grade V+,0.000,Monitoring sections (%),MEP
Northwest,2017,Grade I-III,0.967,Monitoring sections (%),MEP
Northwest,2017,Grade IV-V,0.032,Monitoring sections (%),MEP
Southwest,2017,Grade I,0,Monitoring sections (%),MEP
Southwest,2017,Grade II,0.794,Monitoring sections (%),MEP
Southwest,2017,Grade III,0.159,Monitoring sections (%),MEP
Southwest,2017,Grade IV,0.032,Monitoring sections (%),MEP
Southwest,2017,Grade V,0.000,Monitoring sections (%),MEP
Southwest,2017,Grade V+,0.016,Monitoring sections (%),MEP
Southwest,2017,Grade I-III,0.953,Monitoring sections (%),MEP
Southwest,2017,Grade IV-V,0.032,Monitoring sections (%),MEP